filial,nfe,dominio,motivo,origem
01004,000029000,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012896,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012898,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012899,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012900,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012901,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012908,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012909,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012910,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012911,faturamento,(nao documentado),fFaturamento.xlsx
01004,000012912,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015334,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015335,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015336,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015455,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015456,faturamento,(nao documentado),fFaturamento.xlsx
01004,000015457,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016294,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016295,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016296,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016298,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016299,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016300,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016320,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016321,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016322,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016323,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016324,faturamento,(nao documentado),fFaturamento.xlsx
01004,000018493,faturamento,(nao documentado),fFaturamento.xlsx
01004,000023971,faturamento,(nao documentado),fFaturamento.xlsx
01004,000025043,faturamento,(nao documentado),fFaturamento.xlsx
01004,000030015,faturamento,(nao documentado),fFaturamento.xlsx
01004,000030016,faturamento,(nao documentado),fFaturamento.xlsx
01004,000030017,faturamento,(nao documentado),fFaturamento.xlsx
01004,000030018,faturamento,(nao documentado),fFaturamento.xlsx
01004,000030019,faturamento,(nao documentado),fFaturamento.xlsx
03001,000002073,faturamento,(nao documentado),fFaturamento.xlsx
03001,000002082,faturamento,(nao documentado),fFaturamento.xlsx
01004,000016378,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016379,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016380,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016621,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016622,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016623,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016625,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016626,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016696,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016714,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016715,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016915,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016916,devolucao,(nao documentado),fFaturamento.xlsx
01004,000016917,devolucao,(nao documentado),fFaturamento.xlsx
01006,000045676,devolucao,(nao documentado),fFaturamento.xlsx
01006,000045699,devolucao,(nao documentado),fFaturamento.xlsx
