filial_venda,seq_nota_fiscal,cod_produto_venda,qtd_venda,um_venda,preco_unit_venda,total_venda,cod_vendedor,estado,dt_emissao,nome_cliente,chave_cliente
01004,185076,PA01010001,-,CX,"9,79",-,000020,RS,03/07/2024,UNIDASUL DISTRIBUIDORA ALIMENTICIA S/A,077186330061
01007,227440,PA01020002,200,CX,-,-,000022,SC,29/01/2025,COMERCIAL ZAFFARI LTDA LJ 30,920167570056
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222861,PA01030010,30,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222962,PA01010014,240,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222861,PA01030010,30,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222824,PA01030019,18,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222861,PA01030010,30,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222861,PA01030010,30,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,223047,PA01020013,72,CX,-,-,000022,RS,15/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,222861,PA01030010,30,CX,-,-,000022,RS,14/01/2025,LIBRAGA BRANDAO  CIA LTDA,912929870023
01007,165586,PA01020002,120,CX,-,-,000022,RS,22/03/2024,COMERCIAL ZAFFARI LTDA LJ 20,920167570055
01007,225733,PA01020002,120,CX,-,-,000022,RS,24/01/2025,COMERCIAL ZAFFARI LTDA LJ 20,920167570055
01007,225815,PA01020002,120,CX,-,-,000022,RS,24/01/2025,COMERCIAL ZAFFARI LTDA LJ 23,920167570073
01007,225570,PA01020002,120,CX,-,-,000022,RS,23/01/2025,COMERCIAL ZAFFARI LTDA LJ 24,920167570076
01007,165621,PA01020002,120,CX,-,-,000022,RS,22/03/2024,COMERCIAL ZAFFARI LTDA LJ 50,920167570050
01007,166469,PA01020002,120,CX,-,-,000022,RS,27/03/2024,COMERCIAL ZAFFARI LTDA LJ 95,920167570067
01007,164228,PA01020012,120,CX,-,-,000022,RS,13/03/2024,PGL DISTRIBUICAO DE ALIMENTOS LTDA,873978650028
01007,164228,PA01020012,120,CX,-,-,000022,RS,13/03/2024,PGL DISTRIBUICAO DE ALIMENTOS LTDA,873978650028
01007,227549,PA01020002,28,CX,-,-,000022,RS,29/01/2025,COMERCIAL ZAFFARI LTDA LJ 21,920167570070
01007,165562,PA01020002,80,CX,-,-,000022,RS,22/03/2024,COMERCIAL ZAFFARI LTDA LJ 27,920167570075
