cod_produto,descricao,familia,descricao_lousinha,marca,sub_recorte
PA01010001,CARNE MOIDA CONG BOVINO - TUBETE 500G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,Tubete Bov. 500g,CHULETÃO,TUBETE
PA01010002,CARNE MOIDA CONG BOVINO - TERMOFORMADA 1KG - MARCA ALLEZA - CX 12KG,CARNE MOIDA,Termof. Alleza 1kg,ALLEZA,BANDEJA
PA01010003,CARNE MOIDA CONG BOVINO - TERMOFORMADA 1KG - MARCA CHULETAO - CX 12KG,CARNE MOIDA,Termof. Chuletão 1kg,CHULETÃO,BANDEJA
PA01010004,"CARNE MOIDA CONG BOVINO 400G  - TUBETE RM  - CX 9,6KG",CARNE MOIDA,,,
PA01010005,CARNE MOIDA CONG BOVINO - SC 500G - MARCA NOVA ITABERABA - CX 10 KG,CARNE MOIDA,Moida 500g Nv. Itab,NOVA ITABERABA,PACOTE
PA01010006,"CARNE MOIDA CONG BOVINO - TUBETE 400G - MARCA CHULETAO - CX 9,6KG",CARNE MOIDA,Tubete Bov. 400g,CHULETÃO,TUBETE
PA01010008,CARNE MOIDA CONG SUINA TUBETE 500G - MARCA NOVA ITABERABA - CX10KG,CARNE MOIDA,Tubt Suino 500g Nv. Itab.,NOVA ITABERABA,PACOTE
PA01010009,CARNE MOIDA CONG BOVINO - TERMOFORMADA 500G - MARCA CHULETAO - CX 12KG,CARNE MOIDA,Termof. Chuletão 500g,CHULETÃO,BANDEJA
PA01010010,CARNE MOIDA CONG BOVINO - TERMOFORMADA 500G - MARCA ALLEZA - CX 12KG,CARNE MOIDA,Termof. Alleza 500g,ALLEZA,BANDEJA
PA01010011,CARNE MOIDA CONG FRANGO - TUBETE 500G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,Tub. Frango 500g,CHULETÃO,
PA01010012,CARNE MOIDA CONG BOVINO EMB AZUL - TUBETE 500G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010013,CARNE MOIDA CONG BOVINO TEMPERADA - TUBETE 500G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010014,"CARNE MOIDA BOV CONG TEMPERADA - TUBETE 400G - MARCA CHULETAO - CX 9,600KG",CARNE MOIDA,Tub. Bov. Temp 400g,CHULETÃO,TUBETE
PA01010015,CARNE MOIDA BOV CONG TEMPERADA - TUBETE 400G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010016,CARNE MOIDA CONG BOVINO - SC 1KG - MARCA ALLEZA - CX 10KG,CARNE MOIDA,,ALLEZA,PACOTE
PA01010017,"CARNE MOIDA CONG DE BOVINO 2,5KG - NOVA ITABERABA - CX 10KG",CARNE MOIDA,,NOVA ITABERABA,PACOTE
PA01010018,CARNE MOIDA CONG BOVINO - TUBETE 500G - MARCA ALLEZA - CX 10KG - EXPORTACAO,CARNE MOIDA,Tub Alleza 500g EXPOR.,ALLEZA,TUBETE
PA01010019,CARNE MOIDA SUINA 500G - MARCA NOVA ITABERABA - CX 10KG,CARNE MOIDA,,CHULETÃO,PACOTE
PA01010020,CARNE MOIDA TEMPERADA 500G - MARCA CHULETAO - CX 10KG,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010021,CARNE MOIDA FRANGO 500G - ALLEZA - CX 10KG,CARNE MOIDA,,ALLEZA,
PA01010022,CARNE MOIDA DE BOVINO 500G - NOVA ITABERABA,CARNE MOIDA,,NOVA ITABERABA,PACOTE
PA01010023,PICADILLO DE POLLO – TUBETE 500 G,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010024,CARNE MOIDA CONG BOVINO - SC 1KG - MARCA NOVA ITABERABA - CX 12 KG,CARNE MOIDA,Moída 1kg Nv. Itab.,NOVA ITABERABA,PACOTE
PA01010025,CARNE MOIDA CONG BOVINO 1KG - MARCA CHULETAO - CX 12KG,CARNE MOIDA,,CHULETÃO,TUBETE
PA01010026,CARNE MOIDA CONG FRANGO 1 KG - MARCA NOVA ITABERABA - CX 12KG,CARNE MOIDA,,NOVA ITABERABA,
PA01010027,CARNE MOIDA CONG FRANGO 500G - MARCA NOVA ITABERABA - CX 10KG,CARNE MOIDA,,NOVA ITABERABA,
PA01010028,CARNE MOIDA CONG SUINA  1KG - MARCA NOVA ITABERABA - CX12KG,CARNE MOIDA,,NOVA ITABERABA,
PA01020001,HAMBURGUER CONG BOVINO - CAIXETA 672G - MARCA ALLEZA - CX 8.064KG,CAIXETA,,ALLEZA,BOVINO
PA01020002,ALMONDEGA CONG BOV E FRANGO 1KG - MARCA CHULETAO - CX 4KG,ALMONDEGA,Almond. Mista 1kg,CHULETÃO,MISTO
PA01020003,HAMBURGUER CONG BOVINO 56G - MARCA ALLEZA - CX 2.016KG,HAMBURGUER,Hamb Bov. 56g Alleza,ALLEZA,BOVINO
PA01020004,ALMONDEGA CONG BOVINO - 500G - MARCA ALLEZA - CX 22KG,ALMONDEGA,Almond. Bov. 500g Alleza,ALLEZA,BOVINO
PA01020005,ALMONDEGA CONG BOV E FRANGO 1KG - MARCA NOVA ITABERABA - CX 4KG,ALMONDEGA,Almond. Mista 1kg Nv. Itab.,NOVA ITABERABA,MISTO
PA01020006,ALMONDEGA CONG BOVINO 1KG - MARCA NOVA ITABERABA - CX 4KG,ALMONDEGA,Almond. Bov. 1kg Nv. Itab.,NOVA ITABERABA,BOVINO
PA01020007,ALMONDEGA CONG BOVINO GOURMAND - 300G - MARCA ALLEZA - CX 9KG,ALMONDEGA,Almond. Gourmand,ALLEZA,BOVINO
PA01020008,HAMBURGUER CONG BOVINO 56G - MARCA CHULETAO - CX 2.016KG,HAMBURGUER,Hamb Bov. 56g,CHULETÃO,BOVINO
PA01020009,"HAMBURGUER CONG BOVINO 90G - MARCA CHULETAO - CX 3,240KG",HAMBURGUER,Hamb Bov. 90g,CHULETÃO,BOVINO
PA01020010,HAMBURGUER CONG BOV E FRANGO 56G - MARCA CHULETAO - CX 2.016KG,HAMBURGUER,Hamb Misto 56g,CHULETÃO,MISTO
