estado,uf,regiao
Acre,AC,Região Norte
Alagoas,AL,Região Nordeste
Amapá,AP,Região Norte
Amazonas,AM,Região Norte
Bahia,BA,Região Nordeste
Ceará,CE,Região Nordeste
Distrito Federal,DF,Região Centro-Oeste
Espírito Santo,ES,Região Sudeste
Goiás,GO,Região Centro-Oeste
Maranhão,MA,Região Nordeste
Mato Grosso,MT,Região Centro-Oeste
Mato Grosso do Sul,MS,Região Centro-Oeste
Minas Gerais,MG,Região Sudeste
Pará,PA,Região Norte
Paraíba,PB,Região Nordeste
Paraná,PR,Região Sul
Pernambuco,PE,Região Nordeste
Piauí,PI,Região Nordeste
Rio de Janeiro,RJ,Região Sudeste
Rio Grande do Norte,RN,Região Nordeste
Rio Grande do Sul,RS,Região Sul
Rondônia,RO,Região Norte
Roraima,RR,Região Norte
Santa Catarina,SC,Região Sul
São Paulo,SP,Região Sudeste
Sergipe,SE,Região Nordeste
Tocantins,TO,Região Norte
